--- Roles and Permissions ---
Role: Admin | Perm: Logout (auth.logout) | Module: Auth
Role: Admin | Perm: Check Blog Like (blogs.checkBlogLike) | Module: Blogs
Role: Admin | Perm: Create Blog (blogs.createBlog) | Module: Blogs
Role: Admin | Perm: Create Blog Comment (blogs.createBlogComment) | Module: Blogs
Role: Admin | Perm: Create Blog Rating (blogs.createBlogRating) | Module: Blogs
Role: Admin | Perm: Delete Blog (blogs.deleteBlog) | Module: Blogs
Role: Admin | Perm: Delete Blog Comment (blogs.deleteBlogComment) | Module: Blogs
Role: Admin | Perm: Delete Blog Media (blogs.deleteBlogMedia) | Module: Blogs
Role: Admin | Perm: Edit Blog Comment (blogs.editBlogComment) | Module: Blogs
Role: Admin | Perm: Get Blog (blogs.getBlog) | Module: Blogs
Role: Admin | Perm: Get Blog Average Rating (blogs.getBlogAverageRating) | Module: Blogs
Role: Admin | Perm: Get Blog Comments (blogs.getBlogComments) | Module: Blogs
Role: Admin | Perm: Get Blog Details (blogs.getBlogDetails) | Module: Blogs
Role: Admin | Perm: Get Blogs (blogs.getBlogs) | Module: Blogs
Role: Admin | Perm: Get User Rating For Blog (blogs.getUserRatingForBlog) | Module: Blogs
Role: Admin | Perm: Search Blogs (blogs.searchBlogs) | Module: Blogs
Role: Admin | Perm: Toggle Blog Like (blogs.toggleBlogLike) | Module: Blogs
Role: Admin | Perm: Track Blog Share (blogs.trackBlogShare) | Module: Blogs
Role: Admin | Perm: Update Blog (blogs.updateBlog) | Module: Blogs
Role: Admin | Perm: Create Category (categories.createCategory) | Module: Categories
Role: Admin | Perm: Delete Category (categories.deleteCategory) | Module: Categories
Role: Admin | Perm: Get All Categories (categories.getAllCategories) | Module: Categories
Role: Admin | Perm: Get Categories By Company (categories.getCategoriesByCompany) | Module: Categories
Role: Admin | Perm: Get Category By Id (categories.getCategoryById) | Module: Categories
Role: Admin | Perm: Get Main Categories (categories.getMainCategories) | Module: Categories
Role: Admin | Perm: Update Category (categories.updateCategory) | Module: Categories
Role: Admin | Perm: Create Comment (comments.createComment) | Module: Comments
Role: Admin | Perm: Delete Comment (comments.deleteComment) | Module: Comments
Role: Admin | Perm: Get Comments (comments.getComments) | Module: Comments
Role: Admin | Perm: Patch Comment (comments.patchComment) | Module: Comments
Role: Admin | Perm: Update Comment (comments.updateComment) | Module: Comments
Role: Admin | Perm: Create Company Settings (companies.createCompanySettings) | Module: Companies
Role: Admin | Perm: Delete Company Settings (companies.deleteCompanySettings) | Module: Companies
Role: Admin | Perm: Get App Settings (companies.getAppSettings) | Module: Companies
Role: Admin | Perm: Get Company By Id (companies.getCompanyById) | Module: Companies
Role: Admin | Perm: Get Company By Url (companies.getCompanyByUrl) | Module: Companies
Role: Admin | Perm: Get Company Settings (companies.getCompanySettings) | Module: Companies
Role: Admin | Perm: Update Company (companies.updateCompany) | Module: Companies
Role: Admin | Perm: Update Company Settings (companies.updateCompanySettings) | Module: Companies
Role: Admin | Perm: Get Dashboard (dashboard.getDashboard) | Module: Dashboard
Role: Admin | Perm: Get Revenue Per Month (dashboard.getRevenuePerMonth) | Module: Dashboard
Role: Admin | Perm: Create Complex Event (events.createComplexEvent) | Module: Events
Role: Admin | Perm: Delete Event (events.deleteEvent) | Module: Events
Role: Admin | Perm: Get All Events (events.getAllEvents) | Module: Events
Role: Admin | Perm: Get Available Items (events.getAvailableItems) | Module: Events
Role: Admin | Perm: Get Event Statistics (events.getEventStatistics) | Module: Events
Role: Admin | Perm: Update Complex Event (events.updateComplexEvent) | Module: Events
Role: Admin | Perm: Create F A Q (faq.createFAQ) | Module: Faq
Role: Admin | Perm: Delete F A Q (faq.deleteFAQ) | Module: Faq
Role: Admin | Perm: Get F A Q (faq.getFAQ) | Module: Faq
Role: Admin | Perm: Get F A Qs (faq.getFAQs) | Module: Faq
Role: Admin | Perm: Get Public F A Qs (faq.getPublicFAQs) | Module: Faq
Role: Admin | Perm: Update F A Q (faq.updateFAQ) | Module: Faq
Role: Admin | Perm: Create Faq Section (faq-sections.createFaqSection) | Module: Faq Sections
Role: Admin | Perm: Delete Faq Section (faq-sections.deleteFaqSection) | Module: Faq Sections
Role: Admin | Perm: Get Faq Sections (faq-sections.getFaqSections) | Module: Faq Sections
Role: Admin | Perm: Update Faq Section (faq-sections.updateFaqSection) | Module: Faq Sections
Role: Admin | Perm: Create Form (forms.createForm) | Module: Forms
Role: Admin | Perm: Delete Form (forms.deleteForm) | Module: Forms
Role: Admin | Perm: Get Form (forms.getForm) | Module: Forms
Role: Admin | Perm: Get Forms (forms.getForms) | Module: Forms
Role: Admin | Perm: Update Form (forms.updateForm) | Module: Forms
Role: Admin | Perm: Get Home Page Data (home.getHomePageData) | Module: Home
Role: Admin | Perm: Get Reactions (interactions.getReactions) | Module: Interactions
Role: Admin | Perm: Get User History (interactions.getUserHistory) | Module: Interactions
Role: Admin | Perm: Rate Target (interactions.rateTarget) | Module: Interactions
Role: Admin | Perm: Toggle Dislike (interactions.toggleDislike) | Module: Interactions
Role: Admin | Perm: Toggle Favorite (interactions.toggleFavorite) | Module: Interactions
Role: Admin | Perm: Toggle Like (interactions.toggleLike) | Module: Interactions
Role: Admin | Perm: Create Item (items.createItem) | Module: Items
Role: Admin | Perm: Create Item Media (items.createItemMedia) | Module: Items
Role: Admin | Perm: Delete Item (items.deleteItem) | Module: Items
Role: Admin | Perm: Delete Item Media (items.deleteItemMedia) | Module: Items
Role: Admin | Perm: Get All Items (items.getAllItems) | Module: Items
Role: Admin | Perm: Get Category Filters (items.getCategoryFilters) | Module: Items
Role: Admin | Perm: Get Interaction Stats (items.getInteractionStats) | Module: Items
Role: Admin | Perm: Get Item (items.getItem) | Module: Items
Role: Admin | Perm: Get Item Media By Item Id (items.getItemMediaByItemId) | Module: Items
Role: Admin | Perm: Update Item (items.updateItem) | Module: Items
Role: Admin | Perm: Get All Countries (locations.getAllCountries) | Module: Locations
Role: Admin | Perm: Get Governrate By Country Id (locations.getGovernrateByCountryId) | Module: Locations
Role: Admin | Perm: Get Municipality By Governrate Id (locations.getMunicipalityByGovernrateId) | Module: Locations
Role: Admin | Perm: Get Logs (logs.getLogs) | Module: Logs
Role: Admin | Perm: Count Inbox Unread Messages By User (messages.countInboxUnreadMessagesByUser) | Module: Messages
Role: Admin | Perm: Count Messages (messages.countMessages) | Module: Messages
Role: Admin | Perm: Draft To Send (messages.draftToSend) | Module: Messages
Role: Admin | Perm: Empty Trash (messages.emptyTrash) | Module: Messages
Role: Admin | Perm: Get Last5 User Messages (messages.getLast5UserMessages) | Module: Messages
Role: Admin | Perm: Get Message By Id (messages.getMessageById) | Module: Messages
Role: Admin | Perm: Get Messages (messages.getMessages) | Module: Messages
Role: Admin | Perm: Mark All Inbox Messages As Read (messages.markAllInboxMessagesAsRead) | Module: Messages
Role: Admin | Perm: Mark Message As Read (messages.markMessageAsRead) | Module: Messages
Role: Admin | Perm: Mark Message As Unread (messages.markMessageAsUnread) | Module: Messages
Role: Admin | Perm: Move Message To Trash (messages.moveMessageToTrash) | Module: Messages
Role: Admin | Perm: Restore Message (messages.restoreMessage) | Module: Messages
Role: Admin | Perm: Save Draft (messages.saveDraft) | Module: Messages
Role: Admin | Perm: Send Message (messages.sendMessage) | Module: Messages
Role: Admin | Perm: Send Message Intern (messages.sendMessageIntern) | Module: Messages
Role: Admin | Perm: Get Modules (modules.getModules) | Module: Modules
Role: Admin | Perm: Count All By User (notifications.countAllByUser) | Module: Notifications
Role: Admin | Perm: Count Unread Notifications By User (notifications.countUnreadNotificationsByUser) | Module: Notifications
Role: Admin | Perm: Find All Notification By User (notifications.findAllNotificationByUser) | Module: Notifications
Role: Admin | Perm: Find Last5 Notification By User (notifications.findLast5NotificationByUser) | Module: Notifications
Role: Admin | Perm: Mark All Notification As Read By Id (notifications.markAllNotificationAsReadById) | Module: Notifications
Role: Admin | Perm: Mark Notification As Read By Id (notifications.markNotificationAsReadById) | Module: Notifications
Role: Admin | Perm: Mark Notification As Unread By Id (notifications.markNotificationAsUnreadById) | Module: Notifications
Role: Admin | Perm: Get Packs (packs.getPacks) | Module: Packs
Role: Admin | Perm: Get Permissions (permissions.getPermissions) | Module: Permissions
Role: Admin | Perm: Create Privacy Policy (privacy-policy.createPrivacyPolicy) | Module: Privacy Policy
Role: Admin | Perm: Delete Privacy Policy (privacy-policy.deletePrivacyPolicy) | Module: Privacy Policy
